Stokes I Q U V
 Time (s)               Data...
  0.00145800004  4.6216116 -5.38334894 -24.2717247 -9.23467827
  0.00291600008  1.85319722  6.90538883 -2.92805457 -7.20245934
  0.00437399978 -5.1720891 -6.02133226 -4.32068872 -9.58255386
  0.00583200017 -3.56393766 -21.3090687  16.7728386 -10.7824535
  0.0072900001  2.88025188 -16.2783871  9.24374485  1.04124391
  0.00874799956 -13.0275135 -13.8012295  5.62644434  5.95634747
  0.0102059999 -14.8480263  14.1029873  1.31016564  5.62817574
  0.0116640003 -13.8808184  4.89279747 -4.99837828  8.37517071
  0.0131219998 -9.99075222  27.3590412 -4.68791819  2.24114347
  0.0145800002  1.27403092  20.1996269  2.64602995 -2.34510875
  0.0160380006 -0.488564968  13.1356707 -5.84992504 -0.99097532
  0.0174959991 -7.78605938  6.03353119 -8.01782227 -1.14588869
  0.0189539995 -7.41539288  8.3563633 -16.7834339 -3.21615696
  0.0204119999  0.770156324  4.85302305 -14.8089094 -5.88705444
  0.0218700003  13.1739664 -1.97705853 -3.14094138 -13.2984381
  0.0233280007  8.23947048  7.25381327  0.864877522 -16.2397537
  0.0247859992 -6.9308238 -9.89218903  13.8119392 -9.17624664
  0.0262439996 -2.90947986 -19.5096703 -9.91428757  8.58783722
  0.027702 -7.9405036  22.3856335 -10.4163456  9.55536652
  0.0291600004 -13.7263746 -5.76995754 -8.44359493  3.80794311
  0.0306180008 -15.5063457  23.6631927 -12.0041265 -3.35204577
  0.0320760012  1.35125315 -2.82823348 -2.03747845 -4.6674509
  0.0335340016  2.95747423 -6.15815687  7.36679363 -11.440836
  0.0349919982  11.9943981 -19.7801361 -15.6409416  9.36240387
  0.0364499986 -6.3709631 -6.89318991 -6.56486988  4.15649796
  0.037907999 -2.44228578 -9.07919788  0.0133305704  7.38793755
  0.0393659994 -0.312884539  0.963074386  11.3530979  3.36290669
  0.0408239998 -7.14511538  19.1543522 -1.07061779  4.69869518
  0.0422820002 -4.28210402  17.2960854  1.00147986 -5.59625196
  0.0437400006  2.66596055 -20.4769859  8.62459946 -8.15096378
  0.045198001 -0.797453642 -24.2889767 -6.77775669  6.57600117
  0.0466560014 -2.69325781 -10.2787981 -5.75235224  10.5045509
  0.0481140018 -1.88049448 -16.3754368  12.9408779  4.09874535
  0.0495719984  1.33194757  11.7626534  2.10316873  7.73649263
  0.0510299988  19.0563641  4.02093983 -5.79138136  6.51756859
  0.0524879992  21.6317234  25.4625912  7.71628237  2.86011767
  0.0539459996  1.98833597  19.3675423  19.1908779  8.95541668
  0.055404  4.96911144  13.9295702  11.4506712  0.905355036
  0.0568620004 -2.71256328 -24.2317009  3.98012018 -4.45478487
  0.0583200008  1.98833597 -28.5273495 -10.9769478  9.6715517
  0.0597780012 -8.73396111  10.1175795  7.65773869  3.63400507
  0.0612360016 -16.7418995  37.9056549  3.65191984  3.47909164
  0.0626939982 -10.8614321  0.983757138 -13.2991867  6.59502554
  0.0641520023  2.86094642 -0.701091766 -14.1134787 -5.13219118
  0.065609999  9.03292751 -4.12488317  0.788593113 -11.2274904
  0.0670680031  2.99608517 -2.79004979  3.40000391  1.69894648
  0.0685259998 -5.11417246 -10.5301723 -1.67024875  6.51756859
  0.0699839965 -10.1258907 -7.04751539  0.226217315  4.52407789
  0.0714420006 -0.449953884 -2.59754109  13.3471375  2.62774754
  0.0728999972  10.6584549 -3.68099928  8.56782913  0.460318685
  0.0743580014  5.97493029 -10.0274229  2.27702618 -1.28109825
  0.075815998 -3.25504899 -11.6724968  14.7007418 -4.12593365
  0.0772740021 -8.94632244 -10.0465145  16.9662113 -6.67996645
  0.0787319988 -6.08138037 -11.3829384 -0.664358914 -4.33859968
  0.0801900029 -3.02338243 -2.84891629 -4.70743275  2.76363635
  0.0816479996 -6.54471302  0.789657474 -2.09602237  2.14398289
  0.0831060037 -1.00981462 -10.7624559 -3.77960157  0.189899683
  0.0845640004  7.89197063 -11.0726976 -1.22496068  1.48628032
  0.086021997 -3.46740985  10.5821457  1.54256701  1.62148976
  0.0874800012 -9.23590565 -0.312892407  12.7670202 -3.40979862
  0.0889379978 -5.78986645 -24.7933178  13.2885933 -5.38358545
  0.0903960019 -7.05051851 -21.3281612  3.03277421 -2.63591099
  0.0918539986 -7.78605938 -7.45321512  2.8394022 -5.48006678
  0.0933120027 -6.25706053  6.69219732  3.71046376 -3.35204577
  0.0947699994 -5.38444996  14.6057367  0.769078493 -0.15865548
  0.0962280035 -8.09494781  7.71678877 -1.41833282 -8.03477955
  0.0976860002 -8.45982265 -9.46580601  4.96826935 -7.08627415
  0.0991439968 -2.44228578 -15.9490538  13.3666515 -1.4937644
  0.100602001 -3.81684017 -2.94437504  12.5718746 -3.37107038
  0.102059998 -11.9077921 -6.09929037  2.54845691 -2.98378682
  0.103518002 -2.88824368 -14.2657957 -4.30117416 -2.4612937
  0.104975998  5.91701365 -6.69909048 -4.68791819  2.12495828
  0.106434003  1.60222518  9.26481342 -5.75235224  2.60872293
  0.107891999 -0.469259441  21.3021755 -1.74653316  3.42133904
  0.109350003  2.12540531  17.0065269  5.06406879  11.3755989
  0.110808  7.85335922  20.2378101  6.57379055  4.69869518
  0.112265997  6.90352678  13.1945372 -4.57260466 -4.93854952
  0.113724001 -3.58324313 -3.10029125 -10.281518 -1.04872811
  0.115181997 -8.30730915 -5.28629923 -6.70147228  3.9825604
  0.116640002  1.31264198 -4.39694071 -6.23666954  0.576503754
  0.118097998  1.19487822 -12.5427637  5.04455376 -7.24118757
  0.119556002 -2.73186874 -2.63572478  6.12850237 -4.6096983
  0.121013999  7.69698429  24.2248077 -7.26207399  4.77615166
  0.122472003  14.1797848  16.1346703 -4.08828735  8.29771423
  0.12393  8.39391422 -10.7433643  2.95471573  10.5228958
  0.125387996  5.89770794 -10.2597055  8.99360275  12.807189
  0.126846001  5.8397913  8.91797924  1.56208158  10.2721806
  0.128304005 -4.2608676  16.7742443 -6.603899  10.6200562
  0.129761994 -10.3787937  15.6510115  0.187188074  17.2378483
  0.131219998 -13.0854301  20.1025772  13.753396  7.15624666
  0.132678002 -14.7128878  17.1035767  5.27695513 -6.06099224
  0.134136006 -13.2804165  5.29849768 -13.4748192 -4.22241449
  0.135593995 -7.45593452 -3.52508307 -17.7893238 -3.50627971
  0.137052 -0.720231473 -9.2542057 -15.3712845 -1.39728332
  0.138510004 -2.73186874 -2.67390823 -5.81089592 -8.78964233
  0.139967993  0.0732262805  10.4453211  0.845362902 -13.9371157
  0.141425997  9.47888565  0.867615521  3.22614646 -4.06750107
  0.142884001  0.266281694 -0.855416954 -3.77960157 -6.23493004
  0.144342005 -13.2611113 -8.65440559 -3.9144299 -5.77086926
  0.145799994 -7.68760109 -10.4538059 -5.3851223 -6.77712679
  0.147257999  0.519184291 -24.0201015 -7.3596468 -3.81610656
  0.148716003 -6.19914389 -21.076786 -0.894986212  1.13772511
  0.150174007 -2.65464664 -1.35816693  8.99360275 -3.31331754
  0.151631996  1.46708632  4.66051435  3.28469014 -4.97727776
  0.15309 -1.35924482  10.6203289 -2.88902545 -6.33209038
  0.154548004 -4.16434002  9.63392067 -3.16045594 -7.1637311
  0.156005993 -11.4811401 -0.564267397  3.78674817 -8.07350731
  0.157463998 -14.6163597 -10.975647  16.9662113 -3.6224649
  0.158922002 -5.61611652 -6.544765  14.50737  2.00877333
  0.160380006  4.75675058  5.24122238  14.798315  3.36290669
  0.161837995  12.6314812  13.4840956  27.1634865 -0.584667325
  0.163295999  20.5467529  5.7248807  17.3724709 -2.36481261
  0.164754003  21.34021  2.18335676 -7.32061768 -0.545938969
  0.166212007  12.5542583 -0.971558571 -6.62341356  3.15024042
  0.167669997  3.84745955 -1.00974214  1.83351219  7.60128307
  0.169128001  1.33194757  12.8652039 -4.80500603  2.76363635
  0.170586005 -6.52733803  10.0205297  1.87076735 -8.01507568
  0.172043994 -15.3905125  3.59614801  11.8959589 -13.162549
  0.173501998 -12.9522219 -1.9579668  2.72231436 -10.5120344
  0.174960002 -2.17200804  1.6408323  1.89028203 -4.14495802
  0.176418006 -1.51368916  4.27231503  7.2514801 -5.32583284
  0.177875996 -4.16434002 -0.44812578  10.6576681 -14.32372
  0.179334 -0.565787137 -4.93787432  13.0561914 -13.4723759
  0.180792004  4.11773729 -3.08119941  6.18704605 -2.55845428
  0.182249993  6.49811029  2.95657372  7.71628237  1.11870062
  0.183707997  4.50577831  4.75597334  14.7397709 -3.40979862
  0.185166001 -0.488564968  12.4197292  15.8432341  1.35039127
  0.186624005 -2.22992468  9.16935444  18.0306454  12.2072392
  0.188081995 -2.6160357 -5.57744884  12.5718746  19.580574
  0.189539999 -4.49253416 -18.31007  7.75353765  16.1738377
  0.190998003  0.208365068 -0.623133719  0.536677122  11.8777084
  0.192456007  12.7106333  15.0512114 -4.2816596  8.22025681
  0.193913996  24.0680828  4.85302305 -7.20352983 -3.89356327
  0.195372  11.8399534  10.5232792 -14.732625 -3.58373642
  0.196830004  3.55594587  19.9275684 -13.6096468  6.86544466
  0.198287994  1.66014171  11.3935461 -2.09602237  0.286380827
  0.199745998 -6.27443552 -12.6398134 -14.2873363 -10.7824535
  0.201204002 -10.8228207 -14.4010296 -14.5002232 -8.65375328
  0.202662006 -6.41150475 -5.09379053 -9.58431339 -2.73239231
  0.204119995  0.0539207347  0.983757138 -3.81863093 -0.0424704291
  0.205577999 -1.32063377  8.74297142 -0.625329673  0.227948591
  0.207036003  2.10609984  1.69969857  1.56208158  4.89165735
  0.208493993  9.61402512 -8.46030617  4.36863852  5.00784254
  0.209951997  5.74326372 -4.33807468 -0.314869821 -6.46729994
  0.211410001  0.131142899 -1.57135844 -5.81089592 -9.04103661
  0.212868005 -2.82839656 -2.61663294 -9.42997074 -1.97752905
  0.214325994 -5.40375566 -1.28020883 -13.0863008  0.557479322
  0.215783998 -5.65665817 -5.17015743 -4.04925823 -7.47355795
  0.217242002 -4.70875645 -19.0657864  7.90965462 -7.2221632
  0.218700007 -6.83429623 -19.3553448  16.9857254  4.13747358
  0.220157996 -9.9695158 -0.274708867  28.1693764  6.05282831
  0.221616 -11.8093338 -2.11229205  32.0208511  2.0277977
  0.223074004 -7.7262125  3.15067339  20.3138561 -0.642420173
  0.224531993 -5.30529737  11.2980871  15.3589163 -1.97752905
  0.225989997 -6.97136545 -1.62863374  16.4233513  1.04124391
  0.227448002 -6.3709631 -5.13197422  3.40000391  3.32417846
  0.228906006 -0.216356844  1.17626584 -11.306922 -2.32608438
  0.230363995  0.750850797  8.16226387 -4.95934916 -3.56471205
  0.231821999  0.304892778  10.2528124  17.3724709 -2.13244247
  0.233280003  5.62743044  1.17626584  16.0756359  2.27919221
  0.234738007  4.71813965 -7.82232285 -6.12135601  2.55029082
  0.236195996  7.65837336  1.77606571 -16.0099449 -0.893814683
  0.237654001  6.38227701  11.8199291  4.21252155 -0.603691816
  0.239112005 -1.51368916  21.9210682  6.39993286 -2.20989919
  0.240569994 -2.75117445  16.8903866 -10.2229738 -7.80240917
  0.242027998  0.770156324  8.82092953 -10.5902033 -13.8209305
  0.243486002  1.91111374  9.94257164 -13.9378471 -12.8534012
  0.244944006 -0.720231473  12.9622536 -20.7892532 -6.64123774
  0.246401995  0.382114947  10.2130384 -13.2229023  0.460318685
  0.24786  0.169753984  7.13767195  5.43129826  3.67273355
  0.249318004 -6.1006856  1.5055989  5.60692978  3.67273355
  0.250775993 -4.84196424 -6.99023962 -1.03158855  0.886330545
  0.252234012 -1.80327237 -9.00283051  1.44499397 -4.00974846
  0.253692001  7.15642929 -9.97014713 -4.59211922 -1.91977632
  0.25514999  5.66604137 -10.5699472 -13.4553041  3.11151218
  0.256608009 -1.32063377 -8.30598164 -13.7444754 -2.38383698
  0.258065999  0.422656566 -15.9490538  0.40007481 -5.6349802
  0.259523988  8.18155384 -22.7823181  14.0425673  0.518750966
  0.260982007  11.3746901 -22.7409515  10.6771822  3.32417846
  0.262439996  5.23938894 -11.2079306 -11.7912397 -1.39728332
  0.263897985 -5.36707497  0.151674062 -9.31288242 -2.82955289
  0.265356004 -7.61037922 -11.1697474  1.81399763  0.925058901
  0.266813993  1.52500296 -15.4653959  7.1148777  6.13028526
  0.268272012  4.40732002 -2.01683307  9.51517582  0.576503754
  0.269730002 -1.12564778  5.16326427  4.87069654 -0.874790251
  0.271187991 -4.08711767  2.08630705  4.48395205  7.98788738
  0.27264601  5.82048607  4.15617323  2.29654098  5.375422
  0.274103999  4.48647308  1.31149924  1.32968032  1.42784798
  0.275561988 -0.469259441 -4.39694071  1.38822412  6.59502554
  0.277020007  5.39576387 -8.77054787 -2.05699301  11.2587347
  0.278477997  1.38986421 -10.2406139 -1.9221648  2.95659876
  0.279935986 -0.119829133 -8.98214817 -7.32061768  1.54403305
  0.281394005 -1.91910553 -2.19024992 -23.6525784 -2.94505835
  0.282851994 -10.1065855 -2.98414969 -20.2854214 -9.2149744
  0.284310013 -8.98300266  5.76306438 -2.26987982 -6.21590567
  0.285768002 -6.15860224  4.09889793  16.0170918 -6.83487988
  0.287225991 -7.18565702 -14.8067293  6.74764776 -9.40861607
  0.288684011 -3.00407696 -19.7037697 -3.93394446 -3.21615696
  0.290142 -2.50020242 -6.09929037 -0.469212711 -0.545938969
  0.291599989  9.76846886 -5.18924952 -0.180041552 -1.10716033
  0.293058008  20.1606426 -2.69300008 -8.03556252  1.0602684
  0.294515997  19.1335869  1.44832361 -20.189621  3.03405547
  0.295973986  13.2704945  6.38195562 -28.1622295 -0.507210672
  0.297432005  8.95570564  2.64792323 -20.8850517 -14.0920296
  0.298889995  15.6701727 -9.46580601 -11.9065533 -12.8534012
  0.300348014  27.7457886 -7.51208162 -5.9084692 -2.44226933
  0.301806003  46.3621216 -4.7055912 -3.23674035 -3.56471205
  0.303263992  65.5576248 -5.96405697 -8.84985447 -9.15722179
  0.304722011  75.4266129 -9.34966469 -9.62334251 -3.29361367
  0.30618  80.4981766 -1.57135844 -0.701614082 -4.78363609
  0.30763799  79.5676498  2.58905697  20.274826 -6.13844872
  0.309096009  76.8783875  4.50459814  32.5442009  3.84667134
  0.310553998  80.8842926  13.1356707  24.2221012 -2.09371424
  0.312011987  84.5619965  4.25322342  12.3980169  1.0602684
  0.313470006  86.0118408 -12.0018301  7.36679363  17.277256
  0.314927995  98.3384323 -7.27979851  6.16753149  15.7865543
  0.316386014  99.539238  2.97566533  8.21834087  6.40138388
  0.317844003  79.4325104  8.33727169  1.83351219 -2.84857726
  0.319301993  58.572876  13.251812 -5.3851223 -6.9897933
  0.320760012  51.702034  4.79574776 -6.46907091 -9.33115959
  0.322218001  49.2830505  0.576466024 -7.88121939 -13.607585
  0.32367599  45.4914436  1.65992415 -12.8929281 -8.38333416
  0.325134009  36.782711 -0.21584256 -14.441679 -4.55126572
  0.326591998  30.9003143 -5.17015743 -9.42997074 -2.86760163
  0.328049988  27.5720387  3.3049984 -1.97893453 -0.023445975
  0.329508007  21.7089462  5.91738939 -4.06877279 -2.48099756
  0.330965996  17.1219501 -7.87959814 -6.91435909 -6.15747309
  0.332424015  11.0851068  6.34377241 -10.8226051 -6.27365828
  0.333882004  9.84569073  21.882885 -12.7776146 -10.7247009
  0.335339993  15.7280893  21.4374104 -11.5588379 -9.36988831
  0.336798012  10.5233154  10.1939468 -1.45736206 -0.352297246
  0.338256001  1.62153065  3.92389011  15.2240887  0.112442978
  0.339713991  4.66022301  11.9360704  12.1283607 -0.932543039
  0.34117201  18.2436008  10.058713 -0.644844294 -2.98378682
  0.342629999  19.0563641 -7.49299002 -1.80507708 -8.11223602
  0.344087988  9.8263855 -5.71268225 -0.877245665 -13.2984381
  0.345546007  14.1797848  3.53728175  2.66554451 -11.9823532
  0.347003996  17.4887543  6.0526228  5.33549929 -2.79082441
  0.348461986  15.5929508  4.25322342  5.87658644  1.21518183
  0.349920005  13.5040913 -9.33057308 -3.21722579 -0.893814683
  0.351377994  8.41322041 -11.0345135 -4.53357553 -3.6224649
  0.352836013  7.25295687 -6.44771528 -8.09410667 -3.09997177
  0.354294002  11.7414951  7.42723036 -10.2034588  0.325109184
  0.355751991  14.1025629  24.0307083 -17.1116333 -1.00999975
  0.35721001  7.81474829  35.3712196 -36.1543541 -10.7437258
  0.358668  13.2897997  38.0408859 -37.160244 -13.7237701
  0.360125989  20.1799469  18.9793434 -32.7286491 -7.89956951
  0.361584008  40.9816666  5.8012476 -49.449131 -3.2548852
  0.363041997  69.6600494  29.8361988 -65.9354324 -4.99630213
  0.364499986  81.1738739  54.9546089 -78.3396378 -6.67996645
  0.365958005  87.0195923  74.0352402 -81.3590775  0.750441611
  0.367415994  98.3596649  71.150795 -79.5974426  2.18271112
  0.368874013  109.776962  61.4951286 -81.6109924 -5.59625196
  0.370332003  103.892632  63.1004295 -83.7167969 -5.30612898
  0.371789992  94.0236435  56.7142334 -70.3475113  1.95034111
  0.373248011  80.5754013  52.7479172 -57.498024  6.2274456
  0.374706  63.9707069  45.3562202 -51.3438225  5.22118807
  0.376163989  53.3661728  38.6215973 -41.6698952  7.23438311
  0.377622008  41.3890152  27.1267586 -33.773571  5.2014842
  0.379079998  35.989254  16.4830952 -35.341835 -2.44226933
  0.380537987  28.8288288  19.9864349 -40.5859451 -0.0811987817
  0.381996006  16.5601578  21.0698929 -36.4062691  1.81513155
  0.383453995  14.2763128  10.0205297 -23.0139198  3.38261056
  0.384912014  16.7358379 -5.22902393 -8.67422295 -1.95850468
  0.386370003  20.5081406 -0.468808532 -3.48865628 -2.55845428
  0.387827992  19.4251003  14.0838947  0.380560189  5.31766939
  0.389286011  11.9171753  19.0000267  3.16760254  7.34988832
  0.390744001  2.47290492  19.4630013  0.0913890451 -1.66838169
  0.39220199  3.9053762  13.3106785 -5.07643652 -7.27991581
  0.393660009  7.9691925  6.51718903 -11.5588379 -6.29336214
  0.395117998  6.1100688  7.34927225 -14.9650259 -9.3121357
  0.396575987  10.9673433  13.2136288 -5.75235224 -8.76993847
  0.398034006  9.36112213  16.658102 -2.67613864 -6.31238651
  0.399491996  0.189059526  12.3417711  3.59337592 -3.56471205
  0.400950015 -3.19713235  6.76856422  5.27695513  4.33043623
  0.402408004  0.73154521  7.05971384  2.68505931  3.88539982
  0.403865993  6.74908257  2.31859016  2.23977113 -1.24236989
  0.405324012  9.32251072 -3.25461626 -9.64285755 -4.18368626
  0.406782001  9.40166378 -4.41603231 -19.4729023 -6.17717695
  0.40823999  8.64681721 -13.2014303 -14.2873363 -1.82329512
  0.409698009  7.13712358 -14.0907879 -12.9905014  4.21493053
  0.411155999  5.53090286 -0.855416954 -2.67613864  7.31116009
  0.412613988  2.00764155  6.09239721 -0.082468465  3.22769713
  0.414072007  0.808767378  4.44732285 -7.68784761  5.64652061
  0.415529996 -0.235662386 -2.22843361  3.28469014  4.77615166
  0.416987985  2.20262742 -4.64831591  3.61289072  0.789169967
  0.418446004  3.26636267 -1.14497554 -8.11362076  3.49879575
  0.419903994 -3.78015971  0.500098944 -7.62930346  3.05375934
  0.421362013 -5.42499161 -1.28020883  1.25162184  4.52407789
  0.422820002  4.02120924  1.46741533 -4.59211922  4.04031324
  0.424277991  8.99431705 -6.52567339  4.75538301  0.673664331
  0.42573601  2.18332195 -15.330162  18.0306454 -7.14470625
  0.427193999 -4.47322845 -21.2533855  19.0560493 -17.1868992
  0.428651989 -8.71465588 -10.6860886  18.0483856 -9.67971516
  0.430110008 -7.4366293  8.06521416  4.52298164 -1.70711005
  0.431567997 -1.91910553  10.9098883 -6.58438444 -3.64216876
  0.433025986  3.49802923  4.23413134 -15.7189999 -3.99004436
  0.434484005  6.65255451 -7.84141493 -25.2776146  4.11776972
  0.435941994  4.29148722 -15.0596952 -11.4417505  4.89165735
  0.437400013  4.07912588 -12.2532053 -1.82459164 -4.22241449
  0.438858002 -4.01182604 -3.29279995 -10.1076603 -4.74490738
  0.440315992 -13.2418051 -2.13297462 -4.68791819 -4.6674509
  0.441774011 -10.8401957 -17.2266121 -11.2288637 -0.255816072
  0.443232 -9.79576588 -14.8846874 -21.4669418 -1.78456676
