Stokes I Q U V
 Time (s)               Data...
  0.00257600006  0.375060141  1.17599523 -2.84128952 -0.313455939
  0.00515200011  1.1733551  0.0580183007 -3.45369864  0.96406126
  0.00772800017  3.3837285  1.4949832  6.01914454  0.777740538
  0.0103040002 -1.03325272  3.83726645  9.93076324  3.27893162
  0.0128800003 -2.7616365  7.96081924  7.27031469  3.65157318
  0.0154560003 -3.08170772  3.57093692  4.74162292  1.25651896
  0.0180319995 -1.13868785 -3.45388746 -1.61752498 -2.57525778
  0.0206080005 -0.23495771 -4.83819437 -4.01235104 -4.78399134
  0.0231839996 -0.15588133 -7.12680626 -2.97515512 -0.446320802
  0.0257600006  4.10294676 -5.36984062 -1.0061698 -0.153863117
  0.0283359997  7.24340916 -1.40527582 -5.3162241 -5.74193573
  0.0309120007  7.19069147 -0.394640833 -9.12138271 -2.54852986
  0.0334880017  0.295983732  2.63928938 -3.50745583 -0.55284512
  0.0360639989 -3.16078401  6.07220793  3.54420996 -2.86810279
  0.0386399999  3.03729844  11.8463964  6.7643652  1.52263606
  0.0412160009  8.44085217  8.83980846  8.1483469  2.71996951
  0.0437919982  5.05939484  2.02764249  1.14938426  3.2522037
  0.0463679992  3.30465198  3.19827771  0.510623455 -1.53751731
  0.0489440002  8.388134  3.09194851 -0.420112103 -1.16487575
  0.0515200011  11.6076727  2.71928954 -0.686789453  0.830808997
  0.0540959984  11.5813141  1.70764184  1.46876466 -1.29812801
  0.0566719994  6.151402  2.32030129  2.26774263 -6.38030672
  0.0592480004  5.00667715  3.27827787 -2.97515512 -5.12990475
  0.0618240014  5.62046051  2.32030129 -8.58908176 -4.09216404
  0.0644000024  6.36227226 -0.447299182 -7.60458946 -1.05835152
  0.0669760033  4.12930584 -7.07313538 -5.28987217 -0.313455939
  0.0695519969  3.8619523 -12.4483366 -11.942049 -3.08076429
  0.0721279979  1.04156113 -8.72275925 -6.46093369  0.990401804
  0.0747039989  1.86621487  5.38056087 -2.38909745 -1.35119653
  0.0772799999 -4.62557983  5.61954832 -3.21442699  1.68222892
  0.0798560008 -8.45890236 -0.687299669 -3.05420971  8.36149788
  0.0824320018 -5.79666376 -1.77793479 -1.24544156  9.26598644
  0.0850080028  1.76077974 -1.13894618  2.47960877  6.41888142
  0.0875839964  7.45427942  0.883336425  8.54678154  3.27893162
  0.0901599973  6.20411968  0.0580183007  12.9907017  7.50969028
  0.0927359983  5.2476716 -1.75160563  16.0506401  5.35441303
  0.0953119993  5.64681911 -1.43160498  9.63773441 -2.73485065
  0.0978880003  4.63388824 -2.46958184 -4.11881113 -1.13814783
  0.100464001 -0.555028796 -2.89591169 -5.15706062  5.14175177
  0.103040002 -4.86657476  5.51321936  2.32044554  5.48766518
  0.105616003 -3.16078401  1.30865371  4.84808302  1.73568475
  0.108191997 -1.53783536 -0.553628504 -3.34723854  2.1613946
  0.110767998 -0.475952417  2.40030146 -7.71104956 -2.60198569
  0.113343999 -7.15225887  2.77194786 -2.84128952 -1.75017858
  0.11592 -6.91502953  1.97397161  7.08374596 -1.08507943
  0.118496001 -4.54650354  5.22056055  4.26307964 -0.579573035
  0.121072002 -5.10380411  7.74816036  0.11218854  5.80685091
  0.123648003 -3.82728505  5.03423071  0.404163331  7.85599136
  0.126223996 -2.36248899  4.31625462  1.20314133  8.44129372
  0.128800005 -0.0768049359  8.28081989  2.69252896  6.73806715
  0.131375998 -1.27424741  6.7638545  6.84447384  3.49198031
  0.133952007 -1.37968254  3.54359508  6.63155365  4.82217836
  0.136528  0.962484717  2.77194786  5.64706087  4.31667233
  0.139103994  5.45854235  0.430677295  6.47133636 -1.19160378
  0.141680002  5.53761864  8.8661375  4.20932245 -2.36220932
  0.144255996  4.44937706  1.52131236  0.910112441 -5.79500389
