Stokes I Q U V
 Time (s)               Data...
  0.000987999956  1.99191189  8.03356361  15.7057533  11.7019014
  0.00197599991  27.7453327  21.1904125  17.4099655 -7.08657026
  0.00296399998  21.6317291  27.1936131  5.47558737  40.275795
  0.00395199982 -28.5816402 -16.6849117  5.36540127  5.5886488
  0.0049399999  3.2135272 -18.2428627  48.4285736  28.0454559
  0.00592799997  4.95474386 -20.1685581  23.9697113  1.5847367
  0.00691600004 -17.2056904 -7.27260971 -6.9387126  10.480401
  0.00790399965 -15.3539209  9.88720036 -4.01021099 -7.23422432
  0.00889199972 -11.1307802 -19.1696815 -40.070446 -3.89954877
  0.00987999979  18.0774364  33.8254585 -35.6238251  16.8160934
  0.0108679999  10.775382  48.9477577 -71.1625137 -14.2755861
  0.0118559999 -14.3147192 -27.359478 -30.7315636 -7.79032326
  0.012844  3.40146804 -25.7642555  13.1102591 -6.86413097
  0.0138320001 -23.6177902 -0.601006687 -8.38337421 -33.9921684
  0.0148200002  41.7911453  24.0801983  53.8766632  6.1428299
  0.0158079993  35.3458824 -5.04874229 -5.08513784  30.3810711
  0.0167960003 -16.7634773 -17.0551434  4.95648813  10.0355215
  0.0177839994  7.29294872 -32.2495003  2.1038928 -0.453653276
  0.0187720004  18.8900032 -18.6503639  55.8404274  5.66151667
  0.0197599996  21.3719292 -21.244463  32.7894936  28.7127743
  0.0207480006 -10.9041462  40.9791069 -27.3965969  14.0739508
  0.0217359997 -21.5780792  52.3195915 -9.16202259 -15.4625702
  0.0227240007  0.140141934  41.6822968 -25.1341095 -5.45662546
  0.0237119999 -42.6661453  9.55175686  17.6695156  13.851511
  0.0247000009 -15.7242756  2.69628096 -12.4235315  11.1093683
  0.025688 -4.79054117  56.2852821 -11.7575178 -1.11905432
  0.0266759992 -18.9856014  24.375885 -16.5004158  3.88391781
  0.0276640002 -8.57146835  1.51104641 -2.52882028 -19.094471
  0.0286519993 -8.20111465  27.7129288 -12.4235315  4.88297844
  0.0296400003 -1.82770908  40.0522881 -20.8001232 -27.876997
  0.0306279995  27.7121677  43.5359344 -17.2790661  31.6773567
  0.0316159986  2.95372677 -1.71418297  3.8448329  40.4982338
  0.0326040015 -3.23173761 -38.9211044 -1.6399858  12.8505325
  0.0335920006  12.9588118  24.4876995  6.81006336  3.51190686
  0.0345799997 -11.4624405  29.1938515 -7.16153336  15.6310272
  0.0355679989 -1.86087513  32.7147675 -51.4465485  14.7048349
  0.0365560018  4.66177702  13.629262 -40.7364616  25.0060863
  0.0375440009 -16.5755367  4.66173267 -16.723238  24.377121
  0.038532 -36.7349548 -6.97692251  27.5642262 -5.86315298
  0.0395199992 -63.0466728 -5.56805849  35.1988983 -4.9369607
  0.0405079983 -35.5520325 -7.79192638  33.5681419  11.6654673
  0.0414960012 -7.98000765 -14.2399006  15.3335695 -2.15838385
  0.0424840003  6.88390112  22.6340618 -4.01021099 -13.3129606
  0.0434719995 -17.9463997  7.95902014 -9.31138611 -3.8631146
  0.0444599986  4.95474386 -0.787364364 -0.156146422  18.0759449
  0.0454480015  26.9714603  0.472413212 -17.315794  2.47449493
  0.0464360006  8.69697762  22.0426884 -24.2820034 -26.6919327
  0.0474239998 -37.1053085 -19.6492405 -30.5454712 -21.5777397
  0.0484119989 -14.8343201 -36.4388199 -19.2060966 -13.8307076
  0.0494000018 -1.97695625 -36.5133629 -33.3980675 -31.7677727
  0.0503880009 -6.79155827  12.7024431 -22.910799  7.40459919
  0.051376 -2.30861664  18.8920021 -15.3153038  20.1891212
  0.0523639992 -4.2377739 -0.563735187  15.7424822  2.84458828
  0.0533519983 -19.1348495  8.77402401  15.6665764  11.5178127
  0.0543400012 -36.9947548  11.0724354  4.80957365  7.58868694
  0.0553280003 -16.0172424  2.51240802  11.4060478  12.3692198
  0.0563159995  22.0794697  2.88263845 -6.8285265  8.40365982
  0.0573039986 -9.72122383  9.21879768  25.9701996 -20.204752
  0.0582920015 -14.9448738 -11.757617  19.8560963  20.5975647
  0.0592800006  9.29396629  19.744276  19.633276 -0.601307094
  0.0602679998 -10.6111794  15.8904009 -0.748702765 -8.19876862
  0.0612559989 -26.4313755  12.9260721  16.1856747 -5.71549892
  0.0622440018 -10.6443453 -27.9881229  30.2307301 -27.618124
  0.0632319972  28.2317696 -35.512001  32.3805809 -4.41921329
  0.0642199963  6.62410069 -2.56645846  1.47460771  17.1881046
  0.0652080029  6.03263998 -5.30715799  34.12397  10.1083899
  0.0661960021 -27.0615292 -47.1481743  20.3751945 -0.823746681
  0.0671840012 -22.4293404 -44.5913467  13.5559006 -15.68501
  0.0681720003 -11.5729942 -17.1296864  9.25619411  14.5188293
  0.0691599995 -19.0574608 -15.3133202 -16.0915031  2.73336864
  0.0701479986 -44.5566101 -42.2929344 -5.34468699 -18.2794991
  0.0711359978 -47.1103935 -17.6490021 -8.45928097  17.8535042
  0.0721239969 -78.3141022 -9.12624741 -30.6556568 -4.53043318
  0.0731120035 -20.0248032 -26.3581161 -25.8393002 -3.45466948
  0.0741000026 -23.3966827 -16.240139 -29.4705448  5.84752226
  0.0750880018 -22.6891422 -14.1280861 -25.2834721  11.4065933
  0.0760760009 -16.7634773  2.69628096  19.8928261  39.08881
  0.0770640001 -7.34985304 -13.3876247  18.0392494  10.7757092
  0.0780519992  3.91554165 -1.0830518  44.0554123 -8.19876862
  0.0790399984  17.4472809  11.7383528  34.1606979 -34.3258286
  0.0800279975 -6.23879099 -1.41601074 -0.156146422 -16.5747681
  0.0810159966 -6.71969843 -7.42169571  20.9677525 -3.23222995
  0.0820040032  0.471802235 -30.0281181  17.4099655 -30.1378269
  0.0829920024 -10.6830387 -25.8387985  32.343853 -46.370163
  0.0839800015  30.4151993 -11.9787607  73.8521805 -3.19579601
  0.0849680007 -0.788506866  9.40515518  24.7091808 -16.7588558
  0.0859559998  1.84266472 -29.1012993  26.4892998 -20.5767612
  0.0869439989 -17.3162441 -21.16992 -6.56897688  14.7777033
  0.0879319981 -8.68202209  24.1920128 -1.97299266  26.1566372
  0.0889199972  15.7779245  9.62629986  26.5627575  22.375164
  0.0899079964  21.8528366  20.8922405 -4.19630337  29.2688732
  0.0908960029  11.2175961  33.3458977 -4.45585251  1.1782093
  0.0918840021  13.0693655  35.3834076  30.6763706  14.3711758
  0.0928720012  2.03060555  12.6279001 -7.53126907  5.66151667
  0.0938600004 -31.2901993 -16.0935383  12.1846962  10.7028408
  0.0948479995 -36.884201 -18.9460506 -7.27171946  40.3870163
  0.0958359987 -30.8424568  8.51560879 -23.6159897  27.7501469
  0.0968239978 -37.2158623  4.58718967 -20.1683903  31.3820477
  0.0978119969 -1.26941431  15.112668  22.8188782  19.7442417
  0.0988000035 -2.0101223  8.84856701  1.65825117  9.84951687
  0.0997880027 -23.5072365  23.8938408  4.80957365  17.1133175
  0.100776002 -22.2469273 -37.1792831  35.7914543 -5.12296629
  0.101764001 -3.04932451 -28.7310696  34.8634415  5.88395643
  0.102752 -16.205183  2.73355246  10.2576637 -4.19677401
  0.103739999 -22.2469273 -12.0160322  34.4569778 -23.7254314
  0.104727998 -21.6167736 -5.23509979  41.6460075 -3.08457613
  0.105715998  19.5920181  1.54831791  47.390377  4.51288509
  0.106703997 -12.7946091  12.7024431 -32.2129517 -1.60228503
  0.107692003  6.43615961  20.4101944 -8.53273773  1.43708289
  0.108680002  6.43615961 -20.7624168  39.4594269  27.0828285
  0.109668002 -45.07621 -31.2133522  2.36344218  1.13985765
  0.110656001 -12.7946091 -25.5431118 -1.19434428  0.252017021
  0.111644 -11.7941008  8.62493801  18.3355293 -26.764801
  0.112631999  19.8186531  19.6324615  22.7086926 -27.8022118
  0.113619998  12.0688572 -22.50424 -5.23450089  0.140797243
  0.114607997  2.43412566 -51.1138611  4.66021013 -21.2440815
  0.115595996 -22.5398941 -82.5759964 -12.9793587  0.32488516
  0.116584003 -5.49255514 -48.7061234 -22.6512489 -28.4330959
  0.117572002  12.1075506 -5.75193167 -4.15957451  8.88689041
  0.118560001 -8.53277493 -15.0176325  31.1954689 -0.304081857
  0.119548  1.14065051  17.1874504  2.2899847  6.32883549
  0.120536 -0.456846595  35.495224  39.9785271 -12.2007627
  0.121523999  25.561903  54.245285  40.7571754 -26.9508057
  0.122511998  26.4518585  20.3008652  11.0338631  5.80917072
  0.123499997 -2.56841707 -0.787364364 -7.75408983  8.81210423
  0.124488004 -2.0101223  15.8531294 -24.2085457  19.5582352
  0.125476003  0.322555095  27.6383858 -6.6424346  21.5966263
  0.126463994 -3.34781885  50.5404968  31.6019344  18.114296
  0.127452001 -3.90058589  3.06651139  11.2199554  23.4873619
  0.128439993  4.99343777 -44.0720291  7.14307022  3.36425304
  0.129427999 -31.5831642 -31.1388092  28.0074196 -4.30799389
  0.130416006 -22.9489422 -17.1669579  46.9839134 -15.68501
  0.131403998 -11.6448536  10.9978924  20.8551178 -13.5353994
  0.132392004  6.17635918  16.4817753 -13.2021799 -20.7608509
  0.133379996 -3.12118435 -5.71714497 -6.71589184 -19.0561199
  0.134368002 -26.8017292  2.95718169 -30.4720135 -31.4724655
  0.135355994 -12.5016432  13.1099453 -10.6825914 -1.56393337
  0.136344001  2.10246539  12.3694839 -3.75066161 -20.243103
  0.137332007  6.21505308  16.8172188 -11.7183399 -23.0216789
  0.138319999 -18.1343403 -3.78896451 -25.1708374  1.77074218
  0.139308006 -5.64180231  15.038125 -7.60472631  8.62609863
  0.140295997 -16.9458904  57.9525604 -6.7526207 -3.30701566
  0.141284004 -9.98102474  26.3786087  2.25080752 -14.4251575
  0.142271996  2.99242043  14.2951794 -0.156146422 -11.6446638
  0.143260002 -17.7639866  6.25446939 -17.0562439 -15.9803171
  0.144247994 -7.90262032  37.6818199 -46.7771072 -27.0620251
  0.145236 -18.8750477  35.6045532  7.84826088 -47.777668
  0.146224007 -7.34985304  8.96038151  2.73317766 -49.1487389
  0.147211999  17.4472809  4.92014837 -49.1497803 -15.3129988
  0.148200005  18.8900032  7.14401627 -67.9377365 -11.7923174
  0.149187997  9.25527191  28.5279331 -20.9470387 -9.08852673
  0.150176004  17.7789421  47.1686668 -10.9029636 -3.82476306
  0.151163995 -3.60761929  68.2171402 -0.565059245  2.88294005
  0.152152002  10.9964886  55.6914215  25.7473793 -4.97339487
  0.153139994  18.0774364  24.1174698  21.0044804  0.252017021
  0.154128 -27.2494698  6.62469959  10.9236774 -16.6112022
  0.155116007 -35.8118324 -14.1280861  17.9657936 -16.3887615
  0.156103998 -25.0605125 -7.23533821  29.2684364 -35.9922066
  0.157092005 -16.8353367 -0.417133838  40.9040871 -39.6241074
  0.158079997  6.17635918  8.21743584  30.566185 -10.3100262
  0.159068003  18.8181438  30.8238583 -5.7903285 -17.5738277
  0.160055995  5.58489847  20.8176975 -24.1718178 -13.1633892
  0.161044002  8.32662392  20.2635937  39.1264191  9.3298521
  0.162031993  4.91604996  15.6295004  51.836998  14.2599554
  0.16302  6.88390112  3.58582807  33.4555092  5.25498915
  0.164008006  20.2221718 -9.9412508 -24.3946381  8.51487923
  0.164995998  12.7377052 -14.2026291  0.436409891  11.0729342
  0.165984005 -8.42222118  3.80945706 -5.6042366 -1.15740597
  0.166971996 -26.6911755 -25.6176548  6.29096413  15.2225819
  0.167960003 -16.0172424 -38.9211044  19.7801914 -10.4212465
  0.168947995 -4.56943417  7.80993414  26.8590355 -14.7952518
  0.169936001  0.283861399  0.879915237  24.2292595 -1.74993896
  0.170923993 -0.15835233 -16.6476402  7.1797986 -18.4635868
  0.171912 -19.2067089  15.7413149  22.1161366 -7.97632885
  0.172900006 -11.0920868 -30.5449505  9.84875107  7.07093954
  0.173887998 -17.2775517 -53.3750038  6.10732079  1.36229718
  0.174876004  6.03263998 -45.1106644  17.3340588 -32.5098763
  0.175863996 -14.8343201 -13.6087694  6.81006336 -37.4380646
  0.176852003 -22.097681  27.7129288  25.8967438 -26.3947067
  0.177839994  4.99343777  27.822258 -20.5773029 -25.6526031
  0.178828001  7.03314829  5.03196335  25.7473793 -15.6102238
  0.179815993 -23.468544 -18.3521919  29.1582508 -32.7687492
  0.180803999 -16.3544292 -34.9181442 -7.2349906 -17.4626083
  0.181792006 -3.30912519 -20.5387878  15.186655 -2.93500471
  0.182779998  24.7825012 -6.34579134  32.3071251 -33.3248482
  0.183768004  82.0768204  15.9997311  41.9055595 -13.42418
  0.184755996  97.4934921 -4.89965582  69.3296509 -13.3129606
  0.185744002  135.181152 -11.0519428  65.9946823 -7.05013657
  0.186731994  152.676239 -24.5044785  11.8125114 -14.9064713
  0.187720001  141.891754 -43.9602165 -51.8554611 -23.4665585
  0.188708007  204.968018  16.1115456 -29.9161854 -25.06007
  0.189695999  279.160431  44.0179787 -67.9769135 -31.9173431
  0.190684006  283.941864  38.717968 -66.2702484 -50.1132812
  0.191671997  237.686295  48.5402565 -85.6899338 -63.417469
  0.192660004  236.464676  26.8954391 -35.660553 -68.0503464
  0.193647996  147.076706  35.8281822  13.0000734 -69.9756012
  0.194636002  76.7370834  30.4536285  0.622501969 -56.5237617
  0.195623994  46.2022285  65.1409912  12.6646175 -35.5108948
  0.196612  55.5439949  61.5480194  45.2772522 -33.1024094
  0.197600007  38.5298195  28.2670326  56.0632477 -27.6545582
  0.198587999  43.6816101 -9.8294363  8.5901804 -8.30998802
  0.199576005  42.9409027  14.889039 -3.45438337 -21.058075
  0.200563997  27.3031197  2.21423578  47.7601128  2.77172017
  0.201552004  23.4503326  4.36356068  53.2082024  23.9322414
  0.202539995  20.4488068  46.390934  18.8913555  18.7068291
  0.203528002  24.7438087  36.3847694  19.336998 -0.156428009
  0.204515994  15.2583237  13.778348  42.1651077 -8.60529613
  0.205504  6.40299368 -3.23237634  56.4697113  0.880984008
  0.206492007  4.8441906 -3.19510484  68.7370987 -5.27061987
  0.207479998  0.543661952  7.92174864  55.654335 -13.6466198
  0.208468005  2.36226583 -16.4264965  44.1288681 -7.97632885
  0.209455997 -11.6116877 -28.4328976  8.5142746 -6.27159786
  0.210444003 -0.197046027 -28.5819836 -38.9587898  6.73728037
  0.211431995  1.21251023 -39.8851929 -17.2031593 -8.0491972
  0.212420002 -2.1206758 -12.2744484  19.8928261 -26.8395863
  0.213407993  5.95525217 -14.905818  18.9648132 -5.27061987
  0.214396 -4.38149357 -21.9103794  7.1797986 -23.9478722
  0.215384007 -4.8292346  0.5842278 -12.2007103  1.54830265
  0.216371998 -8.35036182 -12.3862629  6.4770565  0.917418063
  0.217360005  6.77334785 -27.6924362 -0.268781096  2.91937399
  0.218347996 -10.3845444 -16.9830837  6.55051374  10.5916204
  0.219336003  5.84469891  14.5933523 -7.1248045  14.9272747
  0.220323995 -12.1312885  4.2542305 -12.6830807  8.29243946
  0.221312001 -3.38098478 -3.82623601  2.32671356 -7.67910337
  0.222299993 -0.197046027 -9.7548933 -6.97544146 -25.1712894
  0.223288 -13.5021515  16.5935898 -2.93528461 -43.0719185
  0.224276006  4.73363686  19.5579185 -16.5371456  2.58571458
  0.225263998 -1.30810797  5.03196335 -19.093462  5.03254986
  0.226252005 -4.79054117  16.6681328  2.2899847  8.44201088
  0.227239996 -0.827200592  51.9866295 -6.78934908 -23.1328983
  0.228228003  11.6266432  66.2541733  6.99615526 -24.8376293
  0.229215994  29.7463512  7.25583076  10.7375851  4.92132998
  0.230204001  13.2186127  28.8236198 -6.49307108 -2.08359814
  0.231191993 -3.60761929  4.0306015 -23.7261753 -30.1013927
  0.232179999 -6.68100452  21.8936005 -35.9935608 -21.5029545
  0.233168006 -4.12169266  10.6276617 -16.130682  32.1222343
  0.234155998  11.9251375 -12.6098919 -40.3299942  4.92132998
  0.235144004  12.7763987 -28.7310696 -43.1091347 -36.5866585
  0.236131996  9.43768501 -43.7017975 -11.4979677 -41.0335312
  0.237120003  24.2629013  25.8965626 -25.5797501 -10.3483782
  0.238107994  13.0693655  25.6356621 -61.5273514 -23.6889973
  0.239096001 -4.19907999 -14.8337603 -9.94067097 -16.4251957
  0.240084007  29.4533844  11.7010813  22.1528645  0.547324717
  0.241071999  19.5201588  35.271595  19.1141777 -23.8750038
  0.242060006 -10.6111794  21.8936005 -3.15810537 -31.8061237
  0.243047997 -4.71868134  15.5201702  14.295372 -48.2225456
  0.244036004  7.54722166 -10.8307981 -7.97691059 -52.1516724
  0.245023996 -15.9453821 -13.6087694 -16.4636879  0.102445602
  0.246012002 -4.12169266 -12.6819506  38.2008553 -4.97339487
  0.246999994  5.84469891  23.8565693  26.4158421 -23.3553391
  0.247988001  17.1487865  4.067873  8.5901804 -31.1752396
  0.248976007  23.1518383 -3.90077901  20.3751945 -55.3003426
  0.249963999  26.8940716  13.6665335  9.14600849 -3.52945518
  0.250952005  19.9292068  38.7552414 -13.5719156 -4.86217499
  0.251940012  23.7101326  25.2654324  8.99664497 -25.0984211
  0.252927989  33.2343102  12.4440269  6.03141499 -15.4625702
  0.253915995  10.7366886 -38.3272438 -6.7526207 -20.5384102
  0.254904002 -5.56994295 -26.7656174  10.5539417 -21.4665203
  0.255892009 -31.5831642 -18.7249069  32.8262253  14.148736
  0.256879985 -3.34781885 -30.2865353  32.0475769 -6.34446621
  0.257867992  11.035183 -1.56509686  22.4124146 -30.5079212
  0.258855999  2.06377172  2.84536695  8.10781002 -29.2845039
  0.259844005 -0.379459202  6.2171979  13.4065371 -0.0816422999
  0.260832012  2.54467916 -19.2417393  48.4285736  0.510890603
  0.261819988 -8.98051643 -11.2383003  36.6068306  0.694978535
  0.262807995 -12.352396 -3.30691957  7.99517584  17.299324
  0.263796002 -0.60056603 -34.103138 -2.93528461 -5.12296629
  0.264784008 -13.1317978 -25.801527 -33.7335205 -17.7234001
  0.265772015 -12.8333035 -19.835598 -14.350564  13.000104
  0.266759992  26.5237179  21.3742847  39.9785271  21.7078457
  0.267747998  37.1976509  37.1997757  67.7723541 -8.1604166
  0.268736005  21.1121273  35.9027252  20.4486523 -19.2056904
  0.269724011  10.8472414  29.8622532 -42.5533066 -8.71651554
  0.270711988  0.399942487  21.8936005 -31.1380272 -38.364254
  0.271699995  9.06733131  31.1940899 -10.0900345  2.91937399
  0.272688001  8.77436447  20.0026932 -29.9896431  26.379076
  0.273676008 -22.097681 -3.71442151 -7.97691059  2.32684112
  0.274664015 -30.8424568  13.0726738 -4.08611727 -6.5304718
  0.275651991 -20.0966644  2.25150728 -24.0591831 -3.34344983
  0.276639998  1.28436995 -16.2774105 -23.2829838 -27.6909924
  0.277628005  7.03314829 -0.305319279 -52.6708374 -14.6840315
  0.278616011  24.633255  28.7118053 -25.2100143  12.2215662
  0.279603988  3.17483354  9.40515518 -42.0709343 -2.97335649
  0.280591995 -15.1328144  8.55288029 -25.9127579 -30.9528008
  0.281580001  5.6235919  9.06971169  20.8551178 -48.2973328
  0.282568008  6.58540678  38.9788704  27.9706898 -23.5029926
  0.283556014  2.99242043  36.7922707 -17.5753441  11.2953739
  0.284543991  6.91706705  0.102182738 -11.0155983  9.88595009
  0.285531998  4.36328316 -16.4264965  28.1935101  8.99810982
  0.286520004 -9.75438976  0.546956301  34.0113373  19.262928
  0.287508011  18.3317089  13.480176  32.936409 -34.4370461
