#	B_name			P0					P1				Age	Bsurf	Edot		Dpi		Cpi
1     B0011+47   dth78      1.240699038946          11  hlk+04     5.6446E-16          14  hlk+04     3.48e+07 8.44e+11 1.16e+31 	00.30489131	00.02312082	00.03139091
2     B0031-07   lvw69a     0.9429509945598         17  hlk+04     4.08210E-16          7  hlk+04     3.66e+07 6.27e+11 1.92e+31 	00.18343280	00.03964784	00.04786088
3     B0037+56   dtws85     1.1182253452412         13  hlk+04     2.878973E-15        12  hlk+04     6.15e+06 1.82e+12 8.13e+31 	00.33586389	00.06758872	00.09653662
4     B0052+51   dtws85     2.115171148865           4  hlk+04     9.53764E-15          4  hlk+04     3.51e+06 *        *        	00.44048277	00.05179401	00.05154459
5     B0059+65   dbtb82     1.679164229064          12  hlk+04     5.95492E-15          9  hlk+04     4.47e+06 *        *        	00.36765739	00.07840006	00.06469138
6     B0105+65   dls72      1.2835998429             5  hlk+04     1.3051E-14           3  hlk+04     1.56e+06 *        *        	00.14819147	00.05890583	00.06139226
7     B0105+68   dtws85     1.071118109859           5  hlk+04     4.809E-17            4  hlk+04     3.53e+08 *        *        	00.34979799	00.21508234	00.25004003
8     B0136+57   dth78      0.272450630950          15  hlk+04     1.071167E-14        12  hlk+04     4.03e+05 1.73e+12 2.09e+34 	00.83444930	00.00922071	00.12668722
9     B0138+59   mth72      1.2229485205457         18  hlk+04     3.91070E-16         14  hlk+04     4.95e+07 *        *        	00.27487094	00.03971562	00.13571625
10    B0144+59   stwd85     0.19632375430033        16  ywml10     2.56763E-16          8  ywml10     1.21e+07 2.27e+11 1.34e+33 	00.37488031	00.03011833	00.27271313
11    B0148-06   mlt+78     1.464664549334           7  hlk+04     4.4259E-16           5  hlk+04     5.24e+07 8.08e+11 5.46e+30 	00.39289674	00.07775076	00.10138784
12    B0154+61   dls72      2.35174493646            7  hlk+04     1.889254E-13         5  hlk+04     1.97e+05 *        *        	00.24221236	00.05120608	00.06814048
