#	B_name			P0					P1				Age	Bsurf	Edot		Dpi		Cpi
1     B0031-07    lvw69a     0.9429509945598         17  hlk+04     4.08210E-16          7  hlk+04     3.66e+07 6.27e+11 1.92e+31 	00.13939052	00.01864271	00.08079254
2     B0052+51    dtws85     2.115171148865           4  hlk+04     9.53764E-15          4  hlk+04     3.51e+06 *        *        	00.29694122	00.02647517	00.02949031
3     B0136+57    dth78      0.272450630950          15  hlk+04     1.071167E-14        12  hlk+04     4.03e+05 1.73e+12 2.09e+34 	00.56907953	00.04047992	00.15990528
4     B0138+59    mth72      1.2229485205457         18  hlk+04     3.91070E-16         14  hlk+04     4.95e+07 *        *        	00.14005961	00.07864236	00.12259550
5     B0144+59    stwd85     0.19632137530033        16  ywml10     2.56763E-16          8  ywml10     1.21e+07 2.27e+11 1.34e+33 	00.14437247	00.01438617	00.50046847
6     J0215+6218  llc98      0.548879819155           3  hlk+04     6.6212E-16           3  hlk+04     1.31e+07 *        *        	00.16040770	00.04789217	00.04796884
7     B0301+19    fss73      1.387584446262           3  hlk+04     1.295235E-15        20  hlk+04     1.7e+07  1.35e+12 1.91e+31 	00.16529682	00.04541362	00.09551889
8     B0320+39    dth78      3.032071956385          10  hlk+04     6.3562E-16           7  hlk+04     7.56e+07 1.39e+12 8.82e+29 	00.20797395	00.07891414	00.08969136
9     B0329+54    cp68       0.714519699726           4  hlk+04     2.048265E-15         8  hlk+04     5.53e+06 1.22e+12 2.22e+32 	00.13268620	00.00256892	00.08036841
10    B0353+52    dtws85     0.1970300980314          3  hlk+04     4.76594E-16          3  hlk+04     6.55e+06 3.10e+11 2.46e+33 	00.32359734	00.09470823	00.01259014
11    B0355+54    mth72      0.1563824177774         15  hlk+04     4.396862E-15        13  hlk+04     5.64e+05 8.39e+11 4.54e+34 	00.59396821	00.00392365	00.09009628
12    B0402+61    dth78      0.5945761650437          8  ywml10     5.57316E-15          3  ywml10     1.69e+06 1.84e+12 1.04e+33 	00.16304800	00.04282722	00.09367963
13    J0437-4715  jlh+93     0.005757451924362137    99  vbv+08     5.729370E-20         9  vbv+08     1.59e+09 2.85e+08 2.84e+33 	00.11322844	00.01066620	00.03615816
14    B0450-18    vlw69      0.548939223294           3  hlk+04     5.753107E-15        16  hlk+04     1.51e+06 1.80e+12 1.37e+33 	00.22603008	00.05476164	00.04135834
15    B0450+55    dth78      0.340729436235          10  hlk+04     2.37227E-15          7  hlk+04     2.28e+06 9.09e+11 2.36e+33 	00.48918221	00.02840236	00.10817993
