#	B_name			P0					P1				Age	Bsurf	Edot		Dpi		Cpi
35    B0609+37    stwd85     0.27982325571844        18  hlk+04     5.94681E-17         18  hlk+04     7.94e+07 1.35e+11 8.86e+31 	00.15610334	00.00610078	00.04142634
36    B0611+22    dls72      0.33499996611           16  hlk+04     5.94494E-14         12  hlk+04     8.93e+04 4.52e+12 6.24e+34 	00.73297426	00.00936075	00.17098056
37    B0621-04    mlt+78     1.0390764758510         15  hlk+04     8.30442E-16         12  hlk+04     1.98e+07 *        *        	00.27759140	00.01147321	00.09620504
38    B0626+24    dth78      0.476622836038           4  hlk+04     1.99573E-15          3  hlk+04     3.78e+06 9.87e+11 7.28e+32 	00.18498264	00.00992774	00.10934182
39    B0628-28    lvw69a     1.24448859615            8  hlk+04     7.1229E-15           3  hlk+04     2.77e+06 3.01e+12 1.46e+32 	00.46787407	00.00387659	00.05319563
40    B0643+80    dbtb82     1.2144405115160         20  hlk+04     3.798787E-15        15  hlk+04     5.07e+06 2.17e+12 8.36e+31 	00.39990891	00.03450433	00.13174126
41    B0656+14    mlt+78     0.384891195054           5  hlk+04     5.500309E-14         3  hlk+04     1.11e+05 4.66e+12 3.81e+34 	00.78365555	00.01557887	00.13939565
42    B0655+64    dth78      0.19567945166277        16  hlk+04     6.853E-19           12  hlk+04     4.52e+09 1.15e+10 3.49e+30 	00.21435544	00.08454837	00.12986682
43    B0751+32    dth78      1.442349479143           3  hlk+04     1.079865E-15        17  hlk+04     2.12e+07 1.26e+12 1.42e+31 	00.23352980	00.02846826	00.11873041
44    B0756-15    mlt+78     0.6822651758060         14  hlk+04     1.618890E-15        14  hlk+04     6.68e+06 1.06e+12 2.01e+32 	00.13152895	00.00825327	00.01802670
45    B0808-47    mlt+78     0.547199235502           4  smd93      3.0825E-15           4  smd93      2.81e+06 *        *        	00.19368659	00.05336730	00.11152254
46    B0818-41    mlt+78     0.54544553611            2  antt94     1.89E-17            13  antt94     4.57e+08 *        *        	00.31515051	00.05556967	00.07659735
47    B0820+02    mlt+78     0.8648728046988          9  hlk+04     1.04550E-16          6  hlk+04     1.31e+08 3.04e+11 6.38e+30 	00.09488208	00.01219646	00.02673822
48    B0823+26    cls68      0.53060051169            3  hlk+04     1.70932E-15          9  hlk+04     4.92e+06 9.62e+11 4.50e+32 	00.20277214	00.00594764	00.03339765
49    B0826-34    mlt+78     1.84898880365           11  hlk+04     9.963E-16            5  hlk+04     2.94e+07 *        *        	00.23385802	00.11745917	00.03067455
50    B0834+06    phbc68     1.2737682915785          7  hlk+04     6.799219E-15         5  hlk+04     2.97e+06 2.98e+12 1.30e+32 	00.08091950	00.00636271	00.05655156
51    B0839-53    mlt+78     0.72061236106            2  dmk+93     1.644E-15            1  dmk+93     6.94e+06 *        *        	00.11635517	00.04137488	00.13500845
52    B0844-35    mlt+78     1.116097163402           5  hlk+04     1.60135E-15          3  hlk+04     1.1e+07  1.34e+12 4.45e+31 	00.34848857	00.02492599	00.09479955
53    B0853-33    mlt+78     1.267535702756           5  hlk+04     6.32095E-15          3  hlk+04     3.18e+06 *        *        	00.11247140	00.05322918	00.00000000
54    B0906-17    mlt+78     0.40162623442166        18  hlk+04     6.695000E-16        17  hlk+04     9.5e+06  5.24e+11 4.07e+32 	00.13032173	00.01359659	00.05460292
55    B0917+63    dtws85     1.567994018480           4  hlk+04     3.60812E-15          4  hlk+04     6.89e+06 *        *        	00.30830043	00.07656013	00.00955549
56    B0919+06    mlt+78     0.43067709994           13  sha10      1.3617E-14          15  sha10      5.01e+05 2.45e+12 6.73e+33 	00.42679622	00.00815116	00.01392931
57    B0941-56    mlt+78     0.808127417142          11  smd93      3.96284E-14         11  smd93      3.23e+05 *        *        	00.42105892	00.02320600	00.13137524
58    B0940+16    mlt+78     1.087417728071          10  hlk+04     9.109E-17            8  hlk+04     1.89e+08 3.13e+11 2.71e+30 	00.23297263	00.03606124	00.03783504
59    B0942-13    mlt+78     0.5702641245619          4  hlk+04     4.5256E-17           3  hlk+04     2e+08    1.62e+11 9.54e+30 	00.15483435	00.00420164	00.14765819
60    B0943+10    vazs69     1.09775570486            7  hlk+04     3.49339E-15         20  hlk+04     4.98e+06 1.98e+12 1.04e+32 	00.21908635	00.00282983	00.06445030
61    B0950+08    phbc68     0.2530651649482          9  hlk+04     2.29758E-16          3  hlk+04     1.75e+07 2.44e+11 5.59e+32 	00.13366251	00.03578649	00.04276686
62    B0953-52    mlt+78     0.86211773933            5  nmc81      3.517E-15            3  nmc81      3.88e+06 *        *        	00.05858512	00.05484552	00.09013391
63    B1011-58    jlm+92     0.8199114962             3  jml+95     1.7690E-14          10  jml+95     7.34e+05 *        *        	00.14004247	00.05415259	00.18936481
64    B1016-16    dtws85     1.804694945768          10  hlk+04     1.74219E-15         10  hlk+04     1.64e+07 *        *        	00.46608453	00.02831321	00.15207952
65    J1022+1001  cnst96     0.01645292950788405     11  vbc+09     4.3344E-20           6  vbc+09     6.01e+09 *        *        	00.26106838	00.03320277	00.07088775
66    B1036-58    jlm+92     0.661992094032          11  jml+95     1.2512E-15           3  jml+95     8.38e+06 *        *        	00.31659063	00.01299275	00.15220988
67    B1039-19    mlt+78     1.386368074588           3  hlk+04     9.44850E-16         20  hlk+04     2.32e+07 1.16e+12 1.40e+31 	00.57300258	00.01686161	00.02919399
68    B1046-58    jlm+92     0.123670657887           3  wmp+00     9.63190E-14         11  wmp+00     2.03e+04 *        *        	00.13368089	00.05553488	00.16773365
69    B1107-56    jlm+92     0.558252726401           7  jml+95     2.0640E-15           5  jml+95     4.29e+06 *        *        	00.04162276	00.04658793	00.05338875
70    B1112-60    jlm+92     0.88081962549            2  jml+95     4.60876E-14          6  jml+95     3.03e+05 *        *        	00.19057730	00.00461665	00.04174507
71    B1112+50    fss73      1.656439759937           3  hlk+04     2.492785E-15        20  hlk+04     1.05e+07 2.05e+12 2.16e+31 	00.09171177	00.03833248	00.03458574
72    B1131-62    jlm+92     1.02287514082            9  jml+95     4.52E-16             2  jml+95     3.59e+07 *        *        	00.18492949	00.00243292	00.03779044
73    B1133+16    phbc68     1.187913065936           3  hlk+04     3.733837E-15         9  hlk+04     5.04e+06 2.09e+12 8.46e+31 	00.37267593	00.05004376	00.21266490
74    B1222-63    mlt+78     0.4196177915             3  nmc81      9.46E-16            15  nmc81      7.03e+06 *        *        	00.60271400	00.00643067	00.16532976
75    B1237+25    lan69      1.3824491030388         10  hlk+04     9.60049E-16          3  hlk+04     2.28e+07 1.14e+12 1.38e+31 	00.36606379	00.02298060	00.06148639
76    B1254-10    dtws85     0.6173076699955          8  hlk+04     3.62700E-16          7  hlk+04     2.7e+07  *        *        	00.13534054	00.04713755	00.05081246
77    B1303-66    jlm+92     0.473026470689           7  jml+95     5.9745E-15           5  jml+95     1.25e+06 *        *        	00.11796499	00.03732185	00.08061142
78    B1309-12    dtws85     0.4475177112318          7  hlk+04     1.50859E-16          4  hlk+04     4.7e+07  *        *        	00.31609321	00.05650769	00.10021008
79    B1316-60    jlm+92     0.284351393041           6  jml+95     1.5263E-15           2  jml+95     2.95e+06 *        *        	00.47822150	00.13140563	00.10317522
80    B1322+83    dbtb82     0.670037418386           3  hlk+04     5.6630E-16           3  hlk+04     1.87e+07 6.21e+11 7.38e+31 	00.23098995	00.03866073	00.06532220
81    B1334-61    jlm+92     1.23898957650            4  jml+95     1.3854E-14           2  jml+95     1.42e+06 *        *        	00.76208165	00.06019644	00.17877535
82    B1338-62    mdt85      0.193339746306          19  wmp+00     2.53107E-13          3  wmp+00     1.21e+04 *        *        	00.12194530	00.04739961	00.00000000
83    B1409-62    jlm+92     0.394945790784           2  jml+95     7.4343E-15           2  jml+95     8.42e+05 *        *        	00.29744411	00.00614671	00.08140503
84    B1508+55    htg+68     0.739681922904           4  hlk+04     4.99821E-15          4  hlk+04     2.34e+06 1.94e+12 4.84e+32 	00.22786016	00.02421773	00.03987909
85    B1518-58    jlm+92     0.395352859901           3  jml+95     2.0035E-15           2  jml+95     3.13e+06 *        *        	00.29625145	00.04295825	00.04753956
86    B1530+27    dth78      1.124835742767           7  hlk+04     7.7956E-16           6  hlk+04     2.29e+07 *        *        	00.28981078	00.02258290	00.01541906
87    B1535-56    jlm+92     0.24339220040            2  jml+95     4.8493E-15           7  jml+95     7.95e+05 *        *        	00.15283922	00.00846324	00.07022985
88    B1540-06    mlt+78     0.709064069786           4  hlk+04     8.7954E-16           4  hlk+04     1.28e+07 7.99e+11 9.73e+31 	00.21827745	00.04077387	00.11888895
89    B1541+09    ls69       0.748448416229           6  hlk+04     4.3248E-16           4  hlk+04     2.74e+07 5.75e+11 4.07e+31 	00.20263518	00.04489771	00.04055946
90    B1552-23    mlt+78     0.5325777412091         18  hlk+04     6.93702E-16         15  hlk+04     1.22e+07 *        *        	00.15062645	00.06845467	00.09139932
91    B1552-31    mlt+78     0.5181097798008          9  hlk+04     6.2232E-17           9  hlk+04     1.32e+08 *        *        	00.29438767	00.03308201	00.06980826
92    B1600-27    mlt+78     0.778313192792           4  hlk+04     3.00939E-15          3  hlk+04     4.1e+06  *        *        	00.17399171	00.12288629	00.06175448
93    B1604-00    vl70       0.42181623382588        13  hlk+04     3.060926E-16         6  hlk+04     2.18e+07 3.64e+11 1.61e+32 	00.16223220	00.05310808	00.00519608
94    B1607-13    dtws85     1.018392746362          11  hlk+04     2.2984E-16           9  hlk+04     7.02e+07 *        *        	00.77139431	00.06643797	00.15201958
95    B1612+07    mlt+78     1.206801436397           5  hlk+04     2.35957E-15          3  hlk+04     8.1e+06  *        *        	00.09394669	00.04315877	00.04565164
96    B1610-50    jlm+92     0.23163383623            8  wmp+00     4.94943E-13         17  wmp+00     7.42e+03 *        *        	00.40329073	00.05000000	00.14778608
97    B1620-09    mlt+78     1.2764458195155         17  hlk+04     2.580711E-15        10  hlk+04     7.84e+06 *        *        	00.12895265	00.06708273	00.05836475
