Stokes I Q U V
 Time (s)               Data...
  0.00135799998 -2.96243072 -8.47865486  5.75240183  1.50471973
  0.00271599996  0.0893639624 -13.9239426  4.30020952 -5.80435562
  0.00407399982  2.50957847 -11.3589144  2.12192035 -10.5598593
  0.00543199992  1.04431295 -4.86029243  0.548955798 -5.75598192
  0.00679000001 -0.746005893 -1.46016717  0.923715174  1.11773038
  0.00814799964 -1.55779672 -3.09369421  4.57835102  1.95264137
  0.00950600021 -3.73716879 -7.88545179  7.68841457 -0.165102065
  0.0108639998 -4.12453794 -8.23676109  2.2668469 -2.82751441
  0.0122220004  0.682207048 -4.02519464 -8.8053894 -3.60195804
  0.01358  6.01779509 -4.26768064 -14.8557034  2.2307899
  0.0149379997  6.64769077 -9.43440437 -12.6415491  9.2496233
  0.0162959993  5.66747856 -11.4795656 -6.55463743  9.15241051
  0.0176539999  3.75589657 -11.1406775 -4.24313307  5.61927223
  0.0190120004 -2.86643052 -10.1246023 -5.9251585  3.97363734
  0.0203699991 -7.33128023 -6.11885357 -1.77499139  3.53780913
  0.0217279997 -3.78601098 -8.17584324  2.30344462  3.84014463
  0.0230860002 -1.44832289 -16.9857693 -0.770753443  3.16244817
  0.0244440008 -4.95822334 -18.4980545  0.923715174  0.0042057801
  0.0258019995 -6.33759403 -10.8869543  7.05893612 -4.73920441
  0.0271600001 -3.85674787 -4.26768064  7.30121183 -8.72072983
  0.0285180006 -4.20706415 -3.25101423  3.48920655 -6.42111969
  0.0298759993 -6.51948929 -2.23434782  1.2992065  1.91636109
  0.0312339999 -5.56454039  3.64682221  5.41350794  7.99097729
  0.0325919986 -2.10179758  9.60014629  12.2623816  7.76120234
  0.033950001 -0.577584505  8.9708662  12.3231344  6.5993042
  0.0353079997 -4.98348665  5.5707407  6.04225492  7.2286272
  0.0366659984 -12.9582367  6.57498741  1.14183688  5.15925741
  0.0380240008 -15.0752935  6.26034689  1.69812036  2.47265816
  0.0393819995 -6.93212175  1.23852336  1.56490505  1.29913163
  0.0407399982  4.06915998 -0.552323639 -4.78770542  1.04516995
  0.0420980006  6.46579599  1.43192065 -12.1211319  7.02303886
  0.0434559993  0.971891761  1.87963247 -13.5008612  14.380023
  0.0448140018 -1.85927093 -0.00820896029 -10.4515495  10.9678183
  0.0461720005 -0.976743102 -0.334677786 -7.05090094  1.92845452
  0.0475299992 -1.0727433  3.29551339 -1.31459367 -2.3916862
  0.0488880016  0.451469839  7.57923365  2.64233828 -3.17822337
  0.0502460003  7.50663948  9.0678606 -2.57355094 -0.56464994
  0.051603999  13.4249649  3.33218217 -9.88282299  5.38903236
  0.0529620014  11.7660151 -8.27283764 -8.70877171  9.81801414
  0.0543200001  9.44348526 -15.8478603 -1.79914582  11.2943411
  0.0556779988  10.2535915 -18.0870113  2.60574055  9.63661289
  0.0570360012  9.11674786 -15.7147894  1.62565708  8.87426186
  0.0583939999  6.26032162 -8.80512428 -1.20626485  12.2143707
  0.0597519986  5.02579355 -2.36741924 -1.56931293  10.8952579
  0.0611100011  2.54494715  1.85538387 -1.54515851 -0.600930214
  0.0624679998 -1.24284875  2.86022162 -0.552631795 -12.2901478
  0.0638260022 -2.0782187  1.08120322  4.38438368 -12.3506155
