Stokes I Q U V
 Time (s)               Data...
  0.00158899999  8.02179146  30.7780495 -14.4623518 -2.03021574
  0.00317799998  11.8264742  8.82735538  6.03151083  0.76973927
  0.00476700021  0.412427068  6.58814764  18.2392139  2.67415929
  0.00635599997 -3.61606002  8.15989876  6.59141636  5.2495265
  0.00794500019 -16.053215 -15.9169655 -22.4134502  1.66527426
  0.00953400042  5.33613348  0.317289621 -5.27902079 -5.83764744
  0.0111229997  11.8264742  4.57501364  13.6475477  1.55333245
  0.0127119999  2.53857303  34.249897  21.3738022  1.3294487
  0.0143010002  10.1479378  29.6584454  4.68685627 -8.97342777
  0.0158900004  9.25271797 -13.4570675  3.79188895 -12.445034
  0.0174790006  4.10520697 -21.1812572 -12.6702137 -5.50111771
  0.0190680008  1.41954887 -4.3871994 -14.4623518  19.2478924
  0.0206569992 -1.71371889  10.958909  9.83842754  12.3046808
  0.0222459994 -2.3851335 -12.8972654  13.0876427  12.5285645
  0.0238349997 -9.11526489 -23.1997738  9.83842754 -1.80633187
  0.0254239999 -17.1722393 -23.872612  4.23937273 -20.3957233
  0.0270130001 -14.9341908 -5.3937664  2.44723415 -5.38988018
  0.0286020003 -12.58424 -18.495285 -9.98310852  12.5285645
  0.0301910006 -3.50415778 -14.0168686  3.67946696  22.6075573
  0.0317800008 -2.3851335 -6.51337051  3.23198366  10.512907
  0.033369001 -2.49703598  3.11629915 -6.28640938  5.2495265
  0.0349580012  2.20286584  5.36088943  1.21720564  5.36146832
  0.0365470015  3.54569483 -1.24907923  7.0388999 -0.126499742
  0.0381360017  4.6647191 -5.05465555 -8.63845348 -9.08537006
  0.0397249982 -7.19693756 -13.4570675 -9.42320251  1.7772162
  0.0413139984 -8.44385052 -22.3008614 -9.87068653  3.79287386
  0.0429029986  9.81223011 -29.3575954 -11.3255587 -0.574267268
  0.0444919989  4.2171092 -17.0365696 -2.92697668 -1.02203476
  0.0460809991 -5.40649891 -9.87218189  1.55226707 -4.15711117
  0.0476699993 -1.82562137 -13.2309933 -9.31078053 -3.93393159
  0.0492589995 -8.10814285 -23.872612 -10.0933256 -1.58244812
  0.0508479998 -7.19693756 -13.5701036  0.767517745 -3.48616409
